sample,taxonomy,gram,path
ERZ1664520,Unknown,unknown,s3://ngi-igenomes/test-data/funcscan/ERZ1664520_FASTA.fasta.gz
ERZ1664518,Unknown,unknown,s3://ngi-igenomes/test-data/funcscan/ERZ1664518_FASTA.fasta.gz
